Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%).1,Imports ($M),RtW (%).2,Net Exports ($M),Exports Ticker,Imports Ticker,country,year
Samoa,48.12,0.0,47.68,0.0,0.44,0.0,47.24,862D1924 Index,924D1862 Index,China,2019
Aruba,43.28,0.0,43.22,0.0,0.06,0.0,43.17,314D1924 Index,924D1314 Index,China,2019
Vanuatu,42.65,0.0,27.99,0.0,14.66,0.0,13.34,846D1924 Index,924D1846 Index,China,2019
Cape Verde,40.85,0.0,40.82,0.0,0.03,0.0,40.79,624D1924 Index,924D1624 Index,China,2019
St. Lucia,33.98,0.0,33.8,0.0,0.19,0.0,33.61,362D1924 Index,924D1362 Index,China,2019
Tonga,23.44,0.0,23.31,0.0,0.13,0.0,23.18,866D1924 Index,924D1866 Index,China,2019
Guinea-Bissau,23.09,0.0,14.69,0.0,8.4,0.0,6.29,654D1924 Index,924D1654 Index,China,2019
St. Vincent & Grens.,20.88,0.0,20.88,0.0,0.0,0.0,20.88,364I1924 Index,924D1364 Index,China,2019
Comoros,19.47,0.0,19.43,0.0,0.03,0.0,19.4,632D1924 Index,924D1632 Index,China,2019
Bermuda,19.44,0.0,19.43,0.0,0.01,0.0,19.42,319D1924 Index,924D1319 Index,China,2019
Grenada,15.19,0.0,15.19,0.0,0.0,0.0,15.18,328D1924 Index,924D1328 Index,China,2019
Sao Tome & Principe,8.99,0.0,8.98,0.0,0.01,0.0,8.97,716D1924 Index,924D1716 Index,China,2019
Dominica,7.28,0.0,6.8,0.0,0.48,0.0,6.32,321D1924 Index,924D1321 Index,China,2019
Netherlands Antilles,4.88,0.0,4.87,0.0,0.01,0.0,4.86,353D1924 Index,924D1353 Index,China,2019
European Union,699744.0,15.32,440442.0,17.58,259302.0,12.59,181140.0,998D1924 Index,924D1998 Index,China,2020
United States,571572.0,12.52,435449.0,17.38,136123.0,6.61,299326.0,111D1924 Index,924D1111 Index,China,2020
Japan,340009.0,7.45,163920.0,6.54,176089.0,8.55,-12169.0,158D1924 Index,924D1158 Index,China,2020
South Korea,282356.0,6.18,108855.0,4.34,173501.0,8.42,-64646.0,542D1924 Index,924D1542 Index,China,2020
Hong Kong,258510.96,5.66,251385.0,10.03,7125.96,0.35,244259.04,532D1924 Index,924D1532 Index,China,2020
Germany,199007.1,4.36,93725.1,3.74,105282.0,5.11,-11556.9,134D1924 Index,924D1134 Index,China,2020
Australia,176780.7,3.87,62013.7,2.47,114767.0,5.57,-52753.3,193D1924 Index,924D1193 Index,China,2020
Vietnam,163218.6,3.57,84374.3,3.37,78844.3,3.83,5530.0,582D1924 Index,924D1582 Index,China,2020
Brazil,120097.4,2.63,36076.2,1.44,84021.2,4.08,-47945.0,223D1924 Index,924D1223 Index,China,2020
Netherlands,117879.1,2.58,105091.0,4.19,12788.1,0.62,92302.9,138D1924 Index,924D1138 Index,China,2020
Malaysia,115670.2,2.53,40924.1,1.63,74746.1,3.63,-33822.0,548D1924 Index,924D1548 Index,China,2020
Russia,112000.3,2.45,54908.2,2.19,57092.1,2.77,-2183.9,922D1924 Index,924D1922 Index,China,2020
Thailand,98338.3,2.15,50159.6,2.0,48178.7,2.34,1980.9,578D1924 Index,924D1578 Index,China,2020
United Kingdom,95290.8,2.09,75520.0,3.01,19770.8,0.96,55749.2,112D1924 Index,924D1112 Index,China,2020
Mexico,93928.3,2.06,77916.0,3.11,16012.3,0.78,61903.7,273D1924 Index,924D1273 Index,China,2020
Canada,82150.2,1.8,60277.0,2.41,21873.2,1.06,38403.8,156D1924 Index,924D1156 Index,China,2020
India,79573.6,1.74,58700.6,2.34,20873.0,1.01,37827.6,534D1924 Index,924D1534 Index,China,2020
Indonesia,77062.3,1.69,39634.7,1.58,37427.6,1.82,2207.1,536D1924 Index,924D1536 Index,China,2020
France,71327.3,1.56,41111.5,1.64,30215.8,1.47,10895.7,132D1924 Index,924D1132 Index,China,2020
Singapore,69385.2,1.52,37802.1,1.51,31583.1,1.53,6219.0,576D1924 Index,924D1576 Index,China,2020
Saudi Arabia,65573.0,1.44,26509.2,1.06,39063.8,1.9,-12554.6,456D1924 Index,924D1456 Index,China,2020
Italy,59064.7,1.29,36815.8,1.47,22248.9,1.08,14566.9,136D1924 Index,924D1136 Index,China,2020
United Arab Emirates,56330.1,1.23,39372.6,1.57,16957.5,0.82,22415.1,466D1924 Index,924D1466 Index,China,2020
Chile,45272.2,0.99,16459.0,0.66,28813.2,1.4,-12354.2,228D1924 Index,924D1228 Index,China,2020
Philippines,39715.4,0.87,20396.8,0.81,19318.6,0.94,1078.2,566D1924 Index,924D1566 Index,China,2020
Spain,39112.6,0.86,28760.3,1.15,10352.3,0.5,18408.0,184D1924 Index,924D1184 Index,China,2020
South Africa,35740.4,0.78,15132.4,0.6,20608.0,1.0,-5475.6,199D1924 Index,924D1199 Index,China,2020
Switzerland,35058.3,0.77,17678.8,0.71,17379.5,0.84,299.3,146D1924 Index,924D1146 Index,China,2020
Poland,31002.21,0.68,26680.2,1.06,4322.01,0.21,22358.19,964D1924 Index,924D1964 Index,China,2020
Iraq,30899.5,0.68,11616.5,0.46,19283.0,0.94,-7666.5,433D1924 Index,924D1433 Index,China,2020
Belgium,28726.84,0.63,20869.8,0.83,7857.04,0.38,13012.76,124D1924 Index,924D1124 Index,China,2020
Turkey,26761.55,0.59,23041.4,0.92,3720.15,0.18,19321.25,186D1924 Index,924D1186 Index,China,2020
Czech Republic,24418.08,0.53,19274.8,0.77,5143.28,0.25,14131.52,935D1924 Index,924D1935 Index,China,2020
New Zealand,20456.34,0.45,8394.04,0.33,12062.3,0.59,-3668.26,196D1924 Index,924D1196 Index,China,2020
Peru,19784.97,0.43,5574.87,0.22,14210.1,0.69,-8635.23,293D1924 Index,924D1293 Index,China,2020
Ireland,18950.65,0.42,4906.35,0.2,14044.3,0.68,-9137.95,178D1924 Index,924D1178 Index,China,2020
Sweden,18743.92,0.41,9265.53,0.37,9478.39,0.46,-212.86,144D1924 Index,924D1144 Index,China,2020
Norway,17077.19,0.37,9850.51,0.39,7226.68,0.35,2623.83,142D1924 Index,924D1142 Index,China,2020
Oman,16635.73,0.36,1082.23,0.04,15553.5,0.75,-14471.27,449D1924 Index,924D1449 Index,China,2020
Angola,16119.66,0.35,1601.26,0.06,14518.4,0.7,-12917.14,614D1924 Index,924D1614 Index,China,2020
Kazakhstan,16072.82,0.35,6346.5,0.25,9726.32,0.47,-3379.82,916D1924 Index,924D1916 Index,China,2020
Ukraine,16047.4,0.35,8254.99,0.33,7792.41,0.38,462.58,926D1924 Index,924D1926 Index,China,2020
Argentina,15467.09,0.34,8656.34,0.35,6810.75,0.33,1845.59,213D1924 Index,924D1213 Index,China,2020
Hungary,14738.71,0.32,10454.9,0.42,4283.81,0.21,6171.09,944D1924 Index,924D1944 Index,China,2020
Colombia,14704.03,0.32,10398.9,0.41,4305.13,0.21,6093.77,233D1924 Index,924D1233 Index,China,2020
Pakistan,14604.73,0.32,12477.2,0.5,2127.53,0.1,10349.67,564D1924 Index,924D1564 Index,China,2020
Israel,13942.76,0.31,7657.4,0.31,6285.36,0.31,1372.04,436D1924 Index,924D1436 Index,China,2020
Denmark,13701.22,0.3,7693.35,0.31,6007.87,0.29,1685.48,128D1924 Index,924D1128 Index,China,2020
Austria,13218.51,0.29,6546.75,0.26,6671.76,0.32,-125.01,122D1924 Index,924D1122 Index,China,2020
Nigeria,12936.88,0.28,10474.6,0.42,2462.28,0.12,8012.32,694D1924 Index,924D1694 Index,China,2020
Myanmar,12871.12,0.28,6527.87,0.26,6343.25,0.31,184.62,518D1924 Index,924D1518 Index,China,2020
Iran,12610.53,0.28,6209.31,0.25,6401.22,0.31,-191.91,429D1924 Index,924D1429 Index,China,2020
Kuwait,12253.28,0.27,1534.68,0.06,10718.6,0.52,-9183.92,443D1924 Index,924D1443 Index,China,2020
Qatar,12174.22,0.27,3905.99,0.16,8268.23,0.4,-4362.24,453D1924 Index,924D1453 Index,China,2020
Bangladesh,11662.28,0.26,10862.6,0.43,799.68,0.04,10062.92,513D1924 Index,924D1513 Index,China,2020
Egypt,9957.05,0.22,9034.75,0.36,922.3,0.04,8112.45,469D1924 Index,924D1469 Index,China,2020
Slovakia,9602.75,0.21,3170.2,0.13,6432.55,0.31,-3262.35,936D1924 Index,924D1936 Index,China,2020
"Congo, Democratic Republic",9047.13,0.2,2013.14,0.08,7033.99,0.34,-5020.85,636D1924 Index,924D1636 Index,China,2020
Cambodia,8596.47,0.19,7098.21,0.28,1498.26,0.07,5599.95,522D1924 Index,924D1522 Index,China,2020
Romania,8416.59,0.18,5777.3,0.23,2639.29,0.13,3138.01,968D1924 Index,924D1968 Index,China,2020
Ecuador,8262.04,0.18,3947.27,0.16,4314.77,0.21,-367.5,248D1924 Index,924D1248 Index,China,2020
Finland,7052.55,0.15,2856.72,0.11,4195.83,0.2,-1339.11,172D1924 Index,924D1172 Index,China,2020
Mongolia,6897.5,0.15,1892.79,0.08,5004.71,0.24,-3111.92,948D1924 Index,924D1948 Index,China,2020
Algeria,6812.47,0.15,5812.61,0.23,999.86,0.05,4812.75,612D1924 Index,924D1612 Index,China,2020
Turkmenistan,6497.66,0.14,426.49,0.02,6071.17,0.29,-5644.68,925D1924 Index,924D1925 Index,China,2020
Portugal,6275.55,0.14,3502.12,0.14,2773.43,0.13,728.69,182D1924 Index,924D1182 Index,China,2020
Morocco,6018.27,0.13,5426.8,0.22,591.47,0.03,4835.33,686D1924 Index,924D1686 Index,China,2020
Uzbekistan,5908.78,0.13,4425.65,0.18,1483.13,0.07,2942.52,927D1924 Index,924D1927 Index,China,2020
Greece,5052.63,0.11,4279.33,0.17,773.3,0.04,3506.03,174D1924 Index,924D1174 Index,China,2020
Belarus,4603.76,0.1,3708.92,0.15,894.84,0.04,2814.08,913D1924 Index,924D1913 Index,China,2020
Zambia,4215.74,0.09,896.34,0.04,3319.4,0.16,-2423.06,754D1924 Index,924D1754 Index,China,2020
Ethiopia,4194.4,0.09,3855.95,0.15,338.45,0.02,3517.5,644D1924 Index,924D1644 Index,China,2020
Sri Lanka,3899.46,0.09,3581.77,0.14,317.69,0.02,3264.08,524D1924 Index,924D1524 Index,China,2020
Uruguay,3891.6,0.09,1528.85,0.06,2362.75,0.11,-833.9,298D1924 Index,924D1298 Index,China,2020
Dominican Republic,3767.25,0.08,3469.42,0.14,297.83,0.01,3171.59,243D1924 Index,924D1243 Index,China,2020
Congo,3732.56,0.08,357.32,0.01,3375.24,0.16,-3017.92,634D1924 Index,924D1634 Index,China,2020
Laos,3709.42,0.08,1645.23,0.07,2064.19,0.1,-418.96,544D1924 Index,924D1544 Index,China,2020
Macau,3587.06,0.08,3523.95,0.14,63.11,0.0,3460.84,546D1924 Index,924D1546 Index,China,2020
Gabon,3564.77,0.08,350.74,0.01,3214.03,0.16,-2863.29,646D1924 Index,924D1646 Index,China,2020
Kenya,3545.57,0.08,3394.23,0.14,151.34,0.01,3242.89,664D1924 Index,924D1664 Index,China,2020
Ghana,3484.27,0.08,1736.3,0.07,1747.97,0.08,-11.67,652D1924 Index,924D1652 Index,China,2020
Papua New Guinea,3295.97,0.07,1009.94,0.04,2286.03,0.11,-1276.09,853D1924 Index,924D1853 Index,China,2020
Guinea,3218.53,0.07,730.06,0.03,2488.47,0.12,-1758.41,656D1924 Index,924D1656 Index,China,2020
Bulgaria,3155.88,0.07,1787.55,0.07,1368.33,0.07,419.22,918D1924 Index,924D1918 Index,China,2020
Jordan,3133.94,0.07,2708.22,0.11,425.72,0.02,2282.5,439D1924 Index,924D1439 Index,China,2020
Paraguay,3040.78,0.07,3026.78,0.12,14.0,0.0,3012.78,288D1924 Index,924D1288 Index,China,2020
Slovenia,2968.05,0.06,2459.46,0.1,508.59,0.02,1950.87,961D1924 Index,924D1961 Index,China,2020
Costa Rica,2759.63,0.06,2091.01,0.08,668.62,0.03,1422.39,238D1924 Index,924D1238 Index,China,2020
Libya,2742.46,0.06,1925.01,0.08,817.45,0.04,1107.56,672D1924 Index,924D1672 Index,China,2020
Tanzania,2566.88,0.06,2156.48,0.09,410.4,0.02,1746.08,738D1924 Index,924D1738 Index,China,2020
Guatemala,2511.04,0.05,2253.1,0.09,257.94,0.01,1995.16,258D1924 Index,924D1258 Index,China,2020
Venezuela,2374.11,0.05,1840.4,0.07,533.71,0.03,1306.69,299D1924 Index,924D1299 Index,China,2020
Cote D Ivoire,2337.1,0.05,1757.08,0.07,580.02,0.03,1177.06,662D1924 Index,924D1662 Index,China,2020
Serbia,2280.13,0.05,1782.63,0.07,497.5,0.02,1285.13,942D1924 Index,924D1942 Index,China,2020
Cameroon,2121.65,0.05,1369.98,0.05,751.67,0.04,618.31,622D1924 Index,924D1622 Index,China,2020
Azerbaijan,2091.55,0.05,1412.74,0.06,678.81,0.03,733.93,912D1924 Index,924D1912 Index,China,2020
Brunei Darussalam,2025.5,0.04,575.3,0.02,1450.2,0.07,-874.9,516D1924 Index,924D1516 Index,China,2020
Bolivia,1875.06,0.04,1580.14,0.06,294.92,0.01,1285.23,218D1924 Index,924D1218 Index,China,2020
Lithuania,1832.28,0.04,1344.8,0.05,487.48,0.02,857.32,946D1924 Index,924D1946 Index,China,2020
Tunisia,1828.14,0.04,1605.52,0.06,222.62,0.01,1382.9,744D1924 Index,924D1744 Index,China,2020
El Salvador,1616.56,0.04,1444.64,0.06,171.92,0.01,1272.72,253D1924 Index,924D1253 Index,China,2020
Nepal,1580.8,0.03,1564.5,0.06,16.3,0.0,1548.2,558D1924 Index,924D1558 Index,China,2020
Mauritania,1455.92,0.03,225.6,0.01,1230.32,0.06,-1004.72,682D1924 Index,924D1682 Index,China,2020
Armenia,1446.89,0.03,674.18,0.03,772.71,0.04,-98.54,911D1924 Index,924D1911 Index,China,2020
New Caledonia,1400.21,0.03,258.27,0.01,1141.94,0.06,-883.68,839D1924 Index,924D1839 Index,China,2020
Uganda,1391.5,0.03,1351.85,0.05,39.65,0.0,1312.2,746D1924 Index,924D1746 Index,China,2020
Croatia,1385.35,0.03,1243.88,0.05,141.47,0.01,1102.41,960D1924 Index,924D1960 Index,China,2020
Honduras,1362.92,0.03,1317.0,0.05,45.92,0.0,1271.08,268D1924 Index,924D1268 Index,China,2020
Panama,1293.8,0.03,851.03,0.03,442.77,0.02,408.26,283D1924 Index,924D1283 Index,China,2020
Equatorial Guinea,1291.18,0.03,132.33,0.01,1158.85,0.06,-1026.52,642D1924 Index,924D1642 Index,China,2020
Mozambique,1272.5,0.03,694.57,0.03,577.92,0.03,116.65,688D1924 Index,924D1688 Index,China,2020
Peoples Democratic Republic of Yemen,1164.52,0.03,486.68,0.02,677.84,0.03,-191.16,474D1924 Index,924D1474 Index,China,2020
Estonia,1138.24,0.02,856.8,0.03,281.45,0.01,575.36,939D1924 Index,924D1939 Index,China,2020
Cuba,1137.89,0.02,665.61,0.03,472.28,0.02,193.33,928D1924 Index,924D1928 Index,China,2020
Mali,1117.49,0.02,948.59,0.04,168.9,0.01,779.69,678D1924 Index,924D1678 Index,China,2020
Zimbabwe,1044.99,0.02,170.78,0.01,874.22,0.04,-703.44,698D1924 Index,924D1698 Index,China,2020
Afghanistan,1041.02,0.02,986.51,0.04,54.51,0.0,932.0,512D1924 Index,924D1512 Index,China,2020
Senegal,1034.71,0.02,719.45,0.03,315.26,0.02,404.19,722D1924 Index,924D1722 Index,China,2020
Madagascar,952.24,0.02,813.32,0.03,138.92,0.01,674.4,674D1924 Index,924D1674 Index,China,2020
Somalia,947.35,0.02,939.4,0.04,7.95,0.0,931.45,726D1924 Index,924D1726 Index,China,2020
Latvia,928.01,0.02,727.54,0.03,200.47,0.01,527.08,941D1924 Index,924D1941 Index,China,2020
Bosnia and Herzegovina,865.21,0.02,792.53,0.03,72.68,0.0,719.85,963D1924 Index,924D1963 Index,China,2020
Macedonia,827.71,0.02,599.56,0.02,228.16,0.01,371.4,962D1924 Index,924D1962 Index,China,2020
Georgia,806.42,0.02,709.08,0.03,97.34,0.0,611.74,915D1924 Index,924D1915 Index,China,2020
Malta,798.35,0.02,410.8,0.02,387.55,0.02,23.24,181D1924 Index,924D1181 Index,China,2020
Niger,783.25,0.02,558.55,0.02,224.69,0.01,333.86,692D1924 Index,924D1692 Index,China,2020
Lebanon,779.76,0.02,747.98,0.03,31.78,0.0,716.2,446D1924 Index,924D1446 Index,China,2020
Mauritius,775.06,0.02,748.71,0.03,26.35,0.0,722.36,684D1924 Index,924D1684 Index,China,2020
Kyrgyzstan,771.6,0.02,736.84,0.03,34.77,0.0,702.07,917D1924 Index,924D1917 Index,China,2020
Chad,749.87,0.02,328.96,0.01,420.91,0.02,-91.95,628D1924 Index,924D1628 Index,China,2020
Luxembourg,713.78,0.02,323.14,0.01,390.64,0.02,-67.51,137D1924 Index,924D1137 Index,China,2020
Moldova,706.44,0.02,645.97,0.03,60.48,0.0,585.49,921D1924 Index,924D1921 Index,China,2020
Haiti,685.91,0.02,682.88,0.03,3.03,0.0,679.85,263D1924 Index,924D1263 Index,China,2020
Rwanda,684.19,0.01,646.02,0.03,38.17,0.0,607.85,714D1924 Index,924D1714 Index,China,2020
Liberia,658.11,0.01,570.13,0.02,87.99,0.0,482.14,668D1924 Index,924D1668 Index,China,2020
Nicaragua,653.43,0.01,634.48,0.03,18.95,0.0,615.53,278D1924 Index,924D1278 Index,China,2020
Albania,620.13,0.01,540.27,0.02,79.86,0.0,460.4,914D1924 Index,924D1914 Index,China,2020
Togo,605.76,0.01,441.56,0.02,164.2,0.01,277.36,742D1924 Index,924D1742 Index,China,2020
Burkina Faso,570.6,0.01,492.9,0.02,77.69,0.0,415.21,748D1924 Index,924D1748 Index,China,2020
North Korea,563.76,0.01,515.76,0.02,48.0,0.0,467.76,954D1924 Index,924D1954 Index,China,2020
Cyprus,533.09,0.01,507.86,0.02,25.22,0.0,482.64,423D1924 Index,924D1423 Index,China,2020
Guyana,518.2,0.01,213.24,0.01,304.96,0.01,-91.71,336D1924 Index,924D1336 Index,China,2020
Solomon Islands,488.99,0.01,133.53,0.01,355.46,0.02,-221.92,813D1924 Index,924D1813 Index,China,2020
Tajikistan,483.66,0.01,438.39,0.02,45.27,0.0,393.12,923D1924 Index,924D1923 Index,China,2020
Syria,464.74,0.01,463.41,0.02,1.33,0.0,462.08,463D1924 Index,924D1463 Index,China,2020
Malawi,453.47,0.01,441.26,0.02,12.21,0.0,429.05,676D1924 Index,924D1676 Index,China,2020
Iceland,428.93,0.01,324.34,0.01,104.59,0.01,219.75,176D1924 Index,924D1176 Index,China,2020
Jamaica,423.49,0.01,391.75,0.02,31.74,0.0,360.01,343D1924 Index,924D1343 Index,China,2020
Sierra Leone,411.76,0.01,253.17,0.01,158.59,0.01,94.59,724D1924 Index,924D1724 Index,China,2020
Fiji,358.28,0.01,334.66,0.01,23.62,0.0,311.04,819D1924 Index,924D1819 Index,China,2020
Benin,350.68,0.01,292.43,0.01,58.25,0.0,234.18,638D1924 Index,924D1638 Index,China,2020
Montenegro,306.79,0.01,249.38,0.01,57.4,0.0,191.98,943D1924 Index,924D1943 Index,China,2020
Maldives,273.37,0.01,267.6,0.01,5.77,0.0,261.83,556D1924 Index,924D1556 Index,China,2020
Greenland,263.96,0.01,3.84,0.0,260.12,0.01,-256.28,326D1924 Index,924D1326 Index,China,2020
Djibouti,219.77,0.0,173.52,0.01,46.25,0.0,127.27,611D1924 Index,924D1611 Index,China,2020
Suriname,208.31,0.0,147.21,0.01,61.1,0.0,86.11,366D1924 Index,924D1366 Index,China,2020
Faeroe Islands,195.05,0.0,129.09,0.01,65.96,0.0,63.12,816D1924 Index,924D1816 Index,China,2020
Bahamas,156.67,0.0,83.74,0.0,72.93,0.0,10.81,313D1924 Index,924D1313 Index,China,2020
Burundi,149.39,0.0,141.7,0.01,7.69,0.0,134.01,618D1924 Index,924D1618 Index,China,2020
Central African Rep.,116.77,0.0,59.7,0.0,57.07,0.0,2.63,626D1924 Index,924D1626 Index,China,2020
Belize,113.54,0.0,113.1,0.0,0.44,0.0,112.66,339D1924 Index,924D1339 Index,China,2020
Gambia,87.32,0.0,57.58,0.0,29.74,0.0,27.84,648D1924 Index,924D1648 Index,China,2020
Cape Verde,70.46,0.0,69.07,0.0,1.39,0.0,67.69,624D1924 Index,924D1624 Index,China,2020
Barbados,54.37,0.0,39.21,0.0,15.15,0.0,24.06,316D1924 Index,924D1316 Index,China,2020
Samoa,48.45,0.0,47.88,0.0,0.58,0.0,47.3,862D1924 Index,924D1862 Index,China,2020
Vanuatu,36.43,0.0,28.58,0.0,7.86,0.0,20.72,846D1924 Index,924D1846 Index,China,2020
Seychelles,35.15,0.0,35.11,0.0,0.04,0.0,35.07,718D1924 Index,924D1718 Index,China,2020
Aruba,34.14,0.0,34.05,0.0,0.09,0.0,33.96,314D1924 Index,924D1314 Index,China,2020
St. Lucia,33.39,0.0,33.33,0.0,0.06,0.0,33.27,362D1924 Index,924D1362 Index,China,2020
Bermuda,29.09,0.0,29.09,0.0,0.0,0.0,29.08,319D1924 Index,924D1319 Index,China,2020
Guinea-Bissau,28.51,0.0,28.5,0.0,0.01,0.0,28.5,654D1924 Index,924D1654 Index,China,2020
Sao Tome & Principe,21.17,0.0,21.13,0.0,0.05,0.0,21.08,716D1924 Index,924D1716 Index,China,2020
Comoros,18.53,0.0,18.41,0.0,0.12,0.0,18.29,632D1924 Index,924D1632 Index,China,2020
Tonga,15.53,0.0,15.3,0.0,0.24,0.0,15.06,866D1924 Index,924D1866 Index,China,2020
Grenada,14.6,0.0,14.55,0.0,0.04,0.0,14.51,328D1924 Index,924D1328 Index,China,2020
St. Vincent & Grens.,11.86,0.0,11.85,0.0,0.01,0.0,11.84,364I1924 Index,924D1364 Index,China,2020
Dominica,5.22,0.0,4.56,0.0,0.66,0.0,3.9,321D1924 Index,924D1321 Index,China,2020
Netherlands Antilles,3.42,0.0,3.41,0.0,0.0,0.0,3.41,353D1924 Index,924D1353 Index,China,2020
European Union,813247.0,63.3,355420.0,58.46,457827.0,67.65,-102407.0,998D1132 Index,132D1998 Index,France,2014
Germany,225009.3,17.51,94966.3,15.62,130043.0,19.22,-35076.7,134D1132 Index,132D1134 Index,France,2014
Belgium,120316.6,9.37,45335.4,7.46,74981.2,11.08,-29645.8,124D1132 Index,132D1124 Index,France,2014
Italy,92050.2,7.16,40923.9,6.73,51126.3,7.55,-10202.4,136D1132 Index,132D1136 Index,France,2014
Spain,86210.8,6.71,42379.6,6.97,43831.2,6.48,-1451.6,184D1132 Index,132D1184 Index,France,2014
United States,80988.7,6.3,47008.0,7.73,33980.7,5.02,13027.3,111D1132 Index,132D1111 Index,France,2014
Netherlands,74226.5,5.78,23741.3,3.9,50485.2,7.46,-26743.9,138D1132 Index,132D1138 Index,France,2014
United Kingdom,68538.2,5.33,39735.6,6.54,28802.6,4.26,10933.0,112D1132 Index,132D1112 Index,France,2014
China,60885.0,4.74,27115.5,4.46,33769.5,4.99,-6654.0,924D1132 Index,132D1924 Index,France,2014
Switzerland,38683.7,3.01,18174.7,2.99,20509.0,3.03,-2334.3,146D1132 Index,132D1146 Index,France,2014
Russia,23972.7,1.87,10715.1,1.76,13257.6,1.96,-2542.5,922D1132 Index,132D1922 Index,France,2014
Poland,20171.99,1.57,9071.09,1.49,11100.9,1.64,-2029.81,964D1132 Index,132D1964 Index,France,2014
Japan,17062.11,1.33,11454.6,1.88,5607.51,0.83,5847.09,158D1132 Index,132D1158 Index,France,2014
Ireland,16029.38,1.25,8026.76,1.32,8002.62,1.18,24.14,178D1132 Index,132D1178 Index,France,2014
Sweden,15364.3,1.2,7183.5,1.18,8180.8,1.21,-997.3,144D1132 Index,132D1144 Index,France,2014
Turkey,15130.23,1.18,8122.57,1.34,7007.66,1.04,1114.91,186D1132 Index,132D1186 Index,France,2014
Saudi Arabia,13637.77,1.06,4496.24,0.74,9141.53,1.35,-4645.29,456D1132 Index,132D1456 Index,France,2014
Czech Republic,13445.95,1.05,4869.28,0.8,8576.67,1.27,-3707.39,935D1132 Index,132D1935 Index,France,2014
Austria,13210.69,1.03,4840.59,0.8,8370.1,1.24,-3529.51,122D1132 Index,132D1122 Index,France,2014
Portugal,12315.13,0.96,5555.03,0.91,6760.1,1.0,-1205.07,182D1132 Index,132D1182 Index,France,2014
Algeria,12194.82,0.95,6363.77,1.05,5831.05,0.86,532.72,612D1132 Index,132D1612 Index,France,2014
Singapore,10873.75,0.85,8108.25,1.33,2765.5,0.41,5342.75,576D1132 Index,132D1576 Index,France,2014
Morocco,10314.49,0.8,6066.25,1.0,4248.24,0.63,1818.01,686D1132 Index,132D1686 Index,France,2014
South Korea,9724.23,0.76,6825.82,1.12,2898.41,0.43,3927.41,542D1132 Index,132D1542 Index,France,2014
Hungary,9567.4,0.74,4963.69,0.82,4603.71,0.68,359.98,944D1132 Index,132D1944 Index,France,2014
India,9486.4,0.74,3698.85,0.61,5787.55,0.86,-2088.7,534D1132 Index,132D1534 Index,France,2014
Brazil,9204.3,0.72,6047.45,0.99,3156.85,0.47,2890.6,223D1132 Index,132D1223 Index,France,2014
Tunisia,9190.56,0.72,4044.98,0.67,5145.58,0.76,-1100.6,744D1132 Index,132D1744 Index,France,2014
Canada,9042.85,0.7,5671.12,0.93,3371.73,0.5,2299.39,156D1132 Index,132D1156 Index,France,2014
Romania,8163.5,0.64,4418.67,0.73,3744.83,0.55,673.84,968D1132 Index,132D1968 Index,France,2014
United Arab Emirates,8141.97,0.63,6767.75,1.11,1374.22,0.2,5393.53,466D1132 Index,132D1466 Index,France,2014
Denmark,7161.58,0.56,3058.95,0.5,4102.63,0.61,-1043.68,128D1132 Index,132D1128 Index,France,2014
Luxembourg,6612.82,0.51,3167.95,0.52,3444.87,0.51,-276.92,137D1132 Index,132D1137 Index,France,2014
Kazakhstan,6571.76,0.51,1085.16,0.18,5486.6,0.81,-4401.44,916D1132 Index,132D1916 Index,France,2014
Slovakia,6528.05,0.51,2824.53,0.46,3703.52,0.55,-878.99,936D1132 Index,132D1936 Index,France,2014
Hong Kong,6415.96,0.5,5688.33,0.94,727.63,0.11,4960.7,532D1132 Index,132D1532 Index,France,2014
Nigeria,6373.7,0.5,876.59,0.14,5497.11,0.81,-4620.52,694D1132 Index,132D1694 Index,France,2014
Mexico,5858.31,0.46,4013.28,0.66,1845.03,0.27,2168.25,273D1132 Index,132D1273 Index,France,2014
Norway,5679.24,0.44,3073.1,0.51,2606.14,0.39,466.96,142D1132 Index,132D1142 Index,France,2014
Malaysia,5580.17,0.43,3807.9,0.63,1772.27,0.26,2035.63,548D1132 Index,132D1548 Index,France,2014
Australia,5084.76,0.4,4067.24,0.67,1017.52,0.15,3049.72,193D1132 Index,132D1193 Index,France,2014
Finland,4634.0,0.36,2302.25,0.38,2331.75,0.34,-29.5,172D1132 Index,132D1172 Index,France,2014
